BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941691308952,DNg34,descending,11,0.42,17.55
720575941471648631,AN05B040,ascending,7,0.14,17.13
720575941486680717,DNp32,descending,6,0.14,16.89
720575941401814307,DNge050,descending,11,0.38,16.88
720575941570031092,DNge099,descending,9,0.26,16.75
720575941519463278,DNg108,descending,10,0.32,16.66
720575941540257741,DNpe027,descending,4,0.06,16.59
720575941611086410,AN27X008,ascending,4,0.06,16.59
720575941532746981,DNp43,descending,4,0.06,16.59
720575941471955264,DNbe001,descending,4,0.06,16.59
720575941438410514,DNb07,descending,4,0.06,16.59
720575941732549163,DNg59,descending,4,0.06,16.59
720575941540246364,DNge107,descending,4,0.06,16.59
720575941633124549,DNge119,descending,12,0.44,16.58
720575941614432409,DNge047,descending,13,0.58,16.54
720575941477713770,DNge047,descending,11,0.46,16.49
720575941688133871,DNge046,descending,6,0.1,16.36
720575941657879576,DNp06,descending,6,0.1,16.36
720575941486612034,DNa03,descending,6,0.1,16.36
720575941408661934,DNpe026,descending,5,0.1,16.33
720575941640840991,DNg80,descending,5,0.1,16.33
720575941516237817,DNd02,descending,5,0.1,16.33
720575941491012809,MDN,descending,5,0.1,16.33
720575941542514268,DNg43,descending,5,0.1,16.33
720575941507745826,ANXXX005,ascending,9,0.48,15.83
720575941574140169,DNg101,descending,7,0.18,15.75
720575941502273419,DNpe022,descending,7,0.18,15.75
720575941579876085,DNg74_a,descending,14,0.68,15.51
720575941456849901,AN19A018_d,ascending,6,0.12,15.41
720575941487149378,DNp42,descending,7,0.26,15.37
720575941605174462,AN05B007,ascending,19,1.48,15.19
720575941651946005,AN17A003,ascending,6,0.18,15.15
720575941601297705,DNde001,descending,6,0.18,15.15
720575941486413709,DNg40,descending,3,0.04,15.11
720575941515909635,AN00A006,ascending,3,0.04,15.11
720575941542664284,DNp102,descending,3,0.04,15.11
720575941565876375,DNge152,descending,3,0.04,15.11
720575941655665108,AN01B005,ascending,3,0.04,15.11
720575941353080624,DNge036,descending,3,0.04,15.11
720575941495266247,DNge067,descending,3,0.04,15.11
720575941482348218,AN09B028,ascending,3,0.04,15.11
720575941555637331,DNpe039,descending,3,0.04,15.11
720575941559874831,DNp04,descending,3,0.04,15.11
720575941634269371,DNg59,descending,3,0.04,15.11
720575941471238263,DNpe055,descending,3,0.04,15.11
720575941454918195,AN06B002,ascending,3,0.04,15.11
720575941490590924,DNge099,descending,9,0.32,14.94
720575941566165302,DNg87,descending,5,0.08,14.6
720575941480799395,DNg105,descending,6,0.2,14.5
720575941578692697,DNp09,descending,4,0.08,14.45
720575941483266246,DNpe045,descending,4,0.08,14.45
720575941574984201,DNge148,descending,4,0.08,14.45
720575941504555570,AN05B005,ascending,4,0.08,14.45
720575941449527477,DNge131,descending,4,0.08,14.45
720575941447863316,DNb05,descending,4,0.08,14.45
720575941433075470,AN00A002,ascending,4,0.08,14.45
720575941553786503,aSP22,descending,4,0.08,14.45
720575941586127750,AN05B007,ascending,16,1.04,14.41
720575941616608469,ANXXX169,ascending,2,0.02,14.14
720575941662695992,DNg65,descending,2,0.02,14.14
720575941515922778,DNpe050,descending,2,0.02,14.14
720575941671012263,AN08B026,ascending,2,0.02,14.14
720575941581870457,DNpe040,descending,2,0.02,14.14
720575941438778815,AN08B007,ascending,2,0.02,14.14
720575941548351549,AN04B003,ascending,2,0.02,14.14
720575941503507435,DNp02,descending,2,0.02,14.14
720575941626032074,DNg95,descending,2,0.02,14.14
720575941546634428,DNp23,descending,2,0.02,14.14
720575941482956998,AN08B026,ascending,2,0.02,14.14
720575941520133367,AN18B019,ascending,2,0.02,14.14
720575941596748933,DNbe002,descending,2,0.02,14.14
720575941536219107,AN10B018,ascending,2,0.02,14.14
720575941477812131,DNpe002,descending,2,0.02,14.14
720575941603720633,DNg20,descending,2,0.02,14.14
720575941688806412,DNg58,descending,2,0.02,14.14
720575941477443358,DNp47,descending,2,0.02,14.14
720575941586099334,DNge012,descending,2,0.02,14.14
720575941477326900,DNg19,descending,2,0.02,14.14
720575941441900479,AN09B011,ascending,2,0.02,14.14
720575941461494483,DNp64,descending,2,0.02,14.14
720575941575725928,DNge130,descending,2,0.02,14.14
720575941505767970,DNg20,descending,2,0.02,14.14
720575941595542823,DNp05,descending,2,0.02,14.14
720575941535938314,AN12B011,ascending,2,0.02,14.14
720575941557316004,DNg14,descending,2,0.02,14.14
720575941483099590,ANXXX254,ascending,2,0.02,14.14
720575941466194454,DNp04,descending,2,0.02,14.14
720575941607564909,DNge100,descending,2,0.02,14.14
720575941571863709,AN27X003,ascending,2,0.02,14.14
720575941593683051,DNp10,descending,2,0.02,14.14
720575941631642860,DNae004,descending,2,0.02,14.14
720575941645316040,AN06B012,ascending,2,0.02,14.14
720575941723233338,AN01B002,ascending,2,0.02,14.14
720575941490558261,DNpe023,descending,2,0.02,14.14
720575941514787907,DNge068,descending,2,0.02,14.14
720575941655483092,AN09B032,ascending,2,0.02,14.14
720575941496208071,DNge058,descending,2,0.02,14.14
720575941589853950,DNg26,descending,2,0.02,14.14
720575941561334061,ANXXX200,ascending,2,0.02,14.14
720575941556195300,DNde001,descending,5,0.14,14.01
720575941560434035,DNge141,descending,6,0.16,13.98
720575941504860978,AN27X011,ascending,7,0.26,13.98
720575941394119830,DNp42,descending,8,0.34,13.88
720575941499166281,DNge124,descending,5,0.16,13.2
720575941574878351,DNge002,descending,4,0.1,13.0
720575941594858198,DNg109,descending,6,0.2,12.97
720575941556379108,DNge073,descending,6,0.22,12.57
720575941548066184,DNge073,descending,5,0.18,12.55
720575941509010305,DNge132,descending,3,0.06,12.38
720575941671438247,DNpe036,descending,3,0.06,12.38
720575941543045149,DNa09,descending,3,0.06,12.38
720575941568708398,AN19B017,ascending,3,0.06,12.38
720575941534911832,DNge139,descending,3,0.06,12.38
720575941453538473,DNge041,descending,3,0.06,12.38
720575941633779387,DNp09,descending,3,0.06,12.38
720575941515054659,AN17A018,ascending,3,0.06,12.38
720575941408639535,DNge148,descending,3,0.06,12.38
720575941486815238,DNge027,descending,3,0.06,12.38
720575941506237500,AN12B001,ascending,3,0.06,12.38
720575941441623899,DNg75,descending,9,0.48,12.18
720575941461407955,DNge119,descending,11,0.64,11.96
720575941471297911,DNge003,descending,6,0.14,11.95
720575941542898205,DNd04,descending,4,0.12,11.94
720575941652078869,DNg44,descending,4,0.08,11.63
720575941511281618,DNg96,descending,4,0.08,11.63
720575941519241176,DNge040,descending,4,0.08,11.63
720575941537766632,DNd05,descending,4,0.08,11.63
720575941658936144,DNp69,descending,6,0.16,11.58
720575941441987023,AN17A003,ascending,4,0.14,11.12
720575941607693421,DNg111,descending,5,0.26,10.81
720575941535724522,DNge056,descending,3,0.08,10.76
720575941511508690,AN17A009,ascending,3,0.08,10.76
720575941628237625,DNge040,descending,3,0.08,10.76
720575941601731769,DNae006,descending,3,0.08,10.76
720575941470533131,DNg96,descending,3,0.08,10.76
720575941450587726,DNp55,descending,3,0.08,10.76
720575941610917037,DNpe002,descending,3,0.08,10.76
720575941569361658,AN05B010,ascending,5,0.2,10.73
720575941569571186,DNp71,descending,3,0.04,10.57
720575941564275602,DNp32,descending,4,0.16,10.47
720575941409225902,DNg102,descending,7,0.42,10.36
720575941535231832,DNge103,descending,4,0.12,10.17
720575941555710547,DNp56,descending,5,0.24,10.09
720575941629726246,DNp07,descending,2,0.04,10.0
720575941441243839,DNge136,descending,2,0.04,10.0
720575941732764971,AN09B004,ascending,2,0.04,10.0
720575941540466381,DNp08,descending,2,0.04,10.0
720575941619873407,ANXXX002,ascending,2,0.04,10.0
720575941507243589,DNbe002,descending,2,0.04,10.0
720575941558381860,DNpe050,descending,2,0.04,10.0
720575941471266423,DNge062,descending,2,0.04,10.0
