BANC,FAFB,MANC,root_626,fafb_match,manc_match,super_class,cell_type,sexually_dimorphic,hemilineage,neurotransmitter_predicted,cns_network,fafb_cell_type,manc_cell_type,side
720575941610664621,720575940630137655,16965,720575941610664621,720575940630137655,16965,ascending,AN09B033,isomorphic,09B,dopamine,superior brain,AN_multi_120,AN09B033,
720575941474665514,720575940617035153,29983,720575941474665514,720575940617035153,29983,descending,DNg106,isomorphic,MX3,gaba,posterior brain,DNg106,DNg106,
720575941435997984,720575940612206810,28048,720575941435997984,720575940612206810,28048,descending,DNge034,isomorphic,MX12__prim,glutamate,leg VNC,DNge034,DNxl072,
720575941521111223,720575940632644639,13979,720575941521111223,720575940632644639,13979,sensory_descending,DNx02,isomorphic,,acetylcholine,,DNx02,DNx02,
720575941550401086,720575940637530084,26426,720575941550401086,720575940637530084,26426,descending,DNge001,isomorphic,MX12,acetylcholine,flange median bundle,DNge001,DNfl029,
720575941442861482,720575940610091955,26285,720575941442861482,720575940610091955,26285,descending,DNge113,isomorphic,LB7,acetylcholine,posterior brain,DNge113,DNg09,
720575941505673566,720575940628582607,18765,720575941505673566,720575940628582607,18765,descending,DNg82,isomorphic,LB12,acetylcholine,dorsal VNC,DNg82,DNg82,
720575941568835834,720575940633816986,14187,720575941568835834,720575940633816986,14187,sensory_descending,DNx02,isomorphic,,acetylcholine,,DNx02,DNx02,
720575941572620446,720575940634163682,21756,720575941572620446,720575940634163682,21756,descending,DNb03,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNb03,DNb03,
720575941535167320,720575940631469452,31885,720575941535167320,720575940631469452,31885,descending,DNge134,isomorphic,putative_primary,glutamate,abdominal VNC,DNge134,DNxn073,
720575941437425964,720575940628115561,101049,720575941437425964,720575940628115561,101049,ascending,AN17B013,isomorphic,17B,gaba,lateral brain,AN_AMMC_SAD_1,AN17B013,
720575941436052768,720575940627003179,26242,720575941436052768,720575940627003179,26242,descending,DNg05_b,isomorphic,LB12,acetylcholine,dorsal VNC,DNg05_b,DNut043,
